pos,gen_pos,count
156889,0.00156889,3
160020,0.0016002,1
164783,0.00164783,3
193571,0.00193571,2
201980,0.0020198,3
214682,0.0021468200000000002,3
215338,0.00215338,1
235271,0.00235271,1
272013,0.00272013,1
307248,0.0030724800000000003,4
311878,0.0031187800000000002,1
318047,0.00318047,4
343589,0.00343589,1
378303,0.00378303,1
380884,0.00380884,4
437732,0.0043773200000000005,4
442113,0.00442113,1
444468,0.00444468,1
448126,0.00448126,4
483370,0.0048337,1
514513,0.00514513,1
516495,0.00516495,2
521242,0.00521242,1
529879,0.00529879,3
532640,0.0053264,3
587301,0.0058730100000000006,4
601287,0.00601287,3
610604,0.00610604,1
619115,0.00619115,2
627268,0.00627268,1
638930,0.0063893000000000005,1
744509,0.0074450900000000006,1
773228,0.00773228,1
793119,0.00793119,1
812675,0.00812675,1
813675,0.00813675,1
824400,0.008244,4
826065,0.00826065,4
882856,0.008828560000000001,1
948820,0.0094882,1
953791,0.00953791,3
957604,0.009576040000000001,1
994821,0.00994821,2
1003483,0.01003483,4
1013306,0.010133060000000001,3
1023587,0.010235870000000001,2
1030835,0.01030835,2
1043550,0.0104355,1
1045785,0.01045785,3
1052100,0.010521,2
1063177,0.01063177,3
1069253,0.01069253,1
1087342,0.01087342,1
1129198,0.01129198,4
1161274,0.01161274,2
1237800,0.012378,2
1250281,0.01250281,2
1261236,0.01261236,1
1277173,0.01277173,4
1319856,0.01319856,1
1325753,0.01325753,1
1336576,0.01336576,1
1339122,0.01339122,2
1360512,0.01360512,4
1375799,0.01375799,3
1379323,0.01379323,3
1406446,0.01406446,3
1414274,0.01414274,1
1436796,0.01436796,1
1458180,0.0145818,1
1481599,0.014815990000000001,1
1484770,0.0148477,1
1521029,0.01521029,3
1536767,0.01536767,1
1553292,0.01553292,4
1580811,0.01580811,4
1594175,0.01594175,3
1601282,0.01601282,1
1636431,0.01636431,1
1647461,0.01647461,3
1715467,0.01715467,1
1726018,0.01726018,2
1746484,0.01746484,2
1784175,0.01784175,1
1788903,0.01788903,1
1795470,0.0179547,4
1800919,0.01800919,2
1815794,0.01815794,4
1827034,0.01827034,1
1841406,0.01841406,4
1851503,0.018515030000000002,1
1865687,0.01865687,1
1868230,0.0186823,1
1875657,0.01875657,4
1901319,0.01901319,2
1903026,0.01903026,3
1916461,0.019164610000000002,1
1921321,0.01921321,1
1937177,0.01937177,2
1962970,0.0196297,1
1989119,0.01989119,2
1998786,0.01998786,1
2127338,0.02127338,2
2150885,0.02150885,2
2164161,0.021641610000000002,3
2242288,0.02242288,3
2246889,0.022468890000000002,2
2269957,0.02269957,1
2270893,0.022708930000000002,1
2289630,0.0228963,1
2314514,0.02314514,1
2316413,0.02316413,2
2328946,0.02328946,2
2342677,0.02342677,2
2345141,0.02345141,1
2352042,0.02352042,1
2360683,0.02360683,1
2369854,0.02369854,1
2375617,0.02375617,3
2376350,0.0237635,2
2378767,0.02378767,3
2399276,0.023992760000000002,3
2400221,0.02400221,2
2431768,0.02431768,1
2468816,0.02468816,1
2470601,0.02470601,1
2482523,0.02482523,2
2491562,0.02491562,2
2507685,0.02507685,2
2526634,0.02526634,2
2546588,0.02546588,4
2567685,0.02567685,4
2573456,0.02573456,1
2585140,0.0258514,1
2635632,0.02635632,1
2651705,0.02651705,3
2670911,0.02670911,2
2734871,0.027348710000000002,1
2742105,0.02742105,4
2783917,0.02783917,4
2820025,0.02820025,1
2833163,0.02833163,1
2858871,0.02858871,1
2864348,0.02864348,3
2878377,0.02878377,3
2892863,0.02892863,1
2902805,0.02902805,3
2929126,0.02929126,1
2933813,0.02933813,3
2943312,0.02943312,1
2961514,0.02961514,3
2981609,0.02981609,2
2981692,0.02981692,1
2988946,0.02988946,3
3004504,0.030045040000000002,1
3006330,0.0300633,2
3007388,0.03007388,3
3025171,0.03025171,2
3028604,0.03028604,2
3042715,0.03042715,1
3051008,0.030510080000000002,1
3160508,0.03160508,1
3262540,0.0326254,1
3322143,0.03322143,3
3339447,0.03339447,4
3341582,0.03341582,4
3341914,0.03341914,1
3344276,0.03344276,1
3362965,0.033629650000000004,3
3366403,0.03366403,1
3374026,0.03374026,1
3400239,0.03400239,4
3422824,0.03422824,2
3439636,0.03439636,2
3480809,0.03480809,1
3485670,0.0348567,1
3562593,0.03562593,2
3565369,0.03565369,4
3579276,0.03579276,1
3600164,0.03600164,3
3601348,0.03601348,2
3611043,0.03611043,3
3640213,0.03640213,1
3659471,0.03659471,1
3660793,0.036607930000000004,1
3663924,0.036639240000000003,3
3674299,0.03674299,2
3681707,0.03681707,1
3696803,0.03696803,2
3698777,0.03698777,2
3730104,0.03730104,1
3764256,0.03764256,1
3775521,0.03775521,3
3829959,0.03829959,2
3837996,0.03837996,3
3843762,0.03843762,1
3863097,0.03863097,1
3865253,0.03865253,1
3867967,0.03867967,1
3873127,0.03873127,1
3881429,0.03881429,3
3888469,0.03888469,1
3899661,0.03899661,2
3902747,0.03902747,1
3903407,0.039034070000000004,1
3920963,0.03920963,2
3927411,0.03927411,3
3932233,0.03932233,3
3962955,0.03962955,1
3986681,0.03986681,1
3987476,0.03987476,1
4101841,0.04101841,4
4101962,0.04101962,1
